date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2018-01-01,Brazil,Argentina,0,2,Friendly,Neutral City,Neutral,True
2018-01-08,USA,Italy,0,1,Friendly,Neutral City,Neutral,True
2018-01-15,Croatia,Uruguay,1,0,Friendly,Neutral City,Neutral,True
2018-01-22,Belgium,Croatia,1,6,Friendly,Neutral City,Neutral,True
2018-01-29,Mexico,France,1,0,Friendly,Neutral City,Neutral,True
2018-02-05,England,Argentina,1,2,Friendly,Neutral City,Neutral,True
2018-02-12,England,Argentina,2,0,Friendly,Neutral City,Neutral,True
2018-02-19,Argentina,Japan,1,4,Friendly,Neutral City,Neutral,True
2018-02-26,Argentina,France,3,1,Friendly,Neutral City,Neutral,True
2018-03-05,Mexico,Morocco,1,0,Friendly,Neutral City,Neutral,True
2018-03-12,Belgium,Japan,2,2,Friendly,Neutral City,Neutral,True
2018-03-19,USA,Italy,2,0,Friendly,Neutral City,Neutral,True
2018-03-26,Germany,Italy,0,2,Friendly,Neutral City,Neutral,True
2018-04-02,Japan,Portugal,1,4,Friendly,Neutral City,Neutral,True
2018-04-09,Spain,Argentina,0,2,Friendly,Neutral City,Neutral,True
2018-04-16,Germany,Argentina,0,1,Friendly,Neutral City,Neutral,True
2018-04-23,Belgium,Croatia,0,1,Friendly,Neutral City,Neutral,True
2018-04-30,Belgium,Netherlands,2,0,Friendly,Neutral City,Neutral,True
2018-05-07,Mexico,Spain,1,0,Friendly,Neutral City,Neutral,True
2018-05-14,Mexico,England,2,3,Friendly,Neutral City,Neutral,True
2018-05-21,Croatia,Netherlands,0,0,Friendly,Neutral City,Neutral,True
2018-05-28,Belgium,Argentina,1,1,Friendly,Neutral City,Neutral,True
2018-06-04,Belgium,Spain,0,3,Friendly,Neutral City,Neutral,True
2018-06-11,Japan,USA,1,0,Friendly,Neutral City,Neutral,True
2018-06-18,Germany,Netherlands,2,0,Friendly,Neutral City,Neutral,True
2018-06-25,Uruguay,Belgium,2,3,Friendly,Neutral City,Neutral,True
2018-07-02,Netherlands,Belgium,1,2,Friendly,Neutral City,Neutral,True
2018-07-09,Croatia,Mexico,0,0,Friendly,Neutral City,Neutral,True
2018-07-16,England,Belgium,2,1,Friendly,Neutral City,Neutral,True
2018-07-23,Argentina,Netherlands,3,1,Friendly,Neutral City,Neutral,True
2018-07-30,USA,Germany,1,2,Friendly,Neutral City,Neutral,True
2018-08-06,Croatia,Morocco,0,2,Friendly,Neutral City,Neutral,True
2018-08-13,Italy,Uruguay,2,1,Friendly,Neutral City,Neutral,True
2018-08-20,Italy,Belgium,2,2,Friendly,Neutral City,Neutral,True
2018-08-27,Brazil,France,1,4,Friendly,Neutral City,Neutral,True
2018-09-03,Italy,Belgium,1,1,Friendly,Neutral City,Neutral,True
2018-09-10,Portugal,England,1,0,Friendly,Neutral City,Neutral,True
2018-09-17,Croatia,Mexico,1,0,Friendly,Neutral City,Neutral,True
2018-09-24,Italy,Morocco,2,1,Friendly,Neutral City,Neutral,True
2018-10-01,Mexico,Japan,2,2,Friendly,Neutral City,Neutral,True
2018-10-08,Italy,USA,0,0,Friendly,Neutral City,Neutral,True
2018-10-15,Mexico,Morocco,4,1,Friendly,Neutral City,Neutral,True
2018-10-22,Netherlands,France,1,2,Friendly,Neutral City,Neutral,True
2018-10-29,Argentina,Belgium,1,2,Friendly,Neutral City,Neutral,True
2018-11-05,Brazil,Belgium,1,0,Friendly,Neutral City,Neutral,True
2018-11-12,France,Netherlands,1,1,Friendly,Neutral City,Neutral,True
2018-11-19,Belgium,Portugal,2,0,Friendly,Neutral City,Neutral,True
2018-11-26,Italy,Argentina,4,3,Friendly,Neutral City,Neutral,True
2018-12-03,Uruguay,USA,0,0,Friendly,Neutral City,Neutral,True
2018-12-10,Belgium,Uruguay,0,1,Friendly,Neutral City,Neutral,True
2018-12-17,England,Croatia,1,2,Friendly,Neutral City,Neutral,True
2018-12-24,Argentina,Croatia,0,2,Friendly,Neutral City,Neutral,True
2018-12-31,Mexico,Japan,1,0,Friendly,Neutral City,Neutral,True
2019-01-07,Morocco,Italy,4,0,Friendly,Neutral City,Neutral,True
2019-01-14,Mexico,Portugal,2,1,Friendly,Neutral City,Neutral,True
2019-01-21,Brazil,Belgium,1,0,Friendly,Neutral City,Neutral,True
2019-01-28,Portugal,Germany,0,0,Friendly,Neutral City,Neutral,True
2019-02-04,Japan,Croatia,1,0,Friendly,Neutral City,Neutral,True
2019-02-11,Italy,Portugal,2,2,Friendly,Neutral City,Neutral,True
2019-02-18,Argentina,Japan,1,1,Friendly,Neutral City,Neutral,True
2019-02-25,Croatia,Argentina,0,0,Friendly,Neutral City,Neutral,True
2019-03-04,Spain,Belgium,1,0,Friendly,Neutral City,Neutral,True
2019-03-11,Germany,Spain,0,0,Friendly,Neutral City,Neutral,True
2019-03-18,Croatia,Mexico,0,3,Friendly,Neutral City,Neutral,True
2019-03-25,Uruguay,Japan,1,2,Friendly,Neutral City,Neutral,True
2019-04-01,USA,Morocco,0,2,Friendly,Neutral City,Neutral,True
2019-04-08,Japan,England,0,3,Friendly,Neutral City,Neutral,True
2019-04-15,France,Morocco,1,0,Friendly,Neutral City,Neutral,True
2019-04-22,France,England,1,0,Friendly,Neutral City,Neutral,True
2019-04-29,USA,Netherlands,4,1,Friendly,Neutral City,Neutral,True
2019-05-06,Belgium,Argentina,2,1,Friendly,Neutral City,Neutral,True
2019-05-13,Brazil,Japan,1,0,Friendly,Neutral City,Neutral,True
2019-05-20,Argentina,Morocco,5,1,Friendly,Neutral City,Neutral,True
2019-05-27,Italy,England,6,1,Friendly,Neutral City,Neutral,True
2019-06-03,Morocco,Portugal,1,2,Friendly,Neutral City,Neutral,True
2019-06-10,Netherlands,Spain,1,4,Friendly,Neutral City,Neutral,True
2019-06-17,Morocco,Italy,2,1,Friendly,Neutral City,Neutral,True
2019-06-24,England,Belgium,1,3,Friendly,Neutral City,Neutral,True
2019-07-01,England,Uruguay,3,1,Friendly,Neutral City,Neutral,True
2019-07-08,Portugal,Croatia,1,1,Friendly,Neutral City,Neutral,True
2019-07-15,Portugal,Mexico,0,0,Friendly,Neutral City,Neutral,True
2019-07-22,Germany,Mexico,5,3,Friendly,Neutral City,Neutral,True
2019-07-29,USA,Brazil,1,3,Friendly,Neutral City,Neutral,True
2019-08-05,Germany,Croatia,3,2,Friendly,Neutral City,Neutral,True
2019-08-12,Spain,France,0,4,Friendly,Neutral City,Neutral,True
2019-08-19,Netherlands,Japan,1,3,Friendly,Neutral City,Neutral,True
2019-08-26,Netherlands,Japan,4,0,Friendly,Neutral City,Neutral,True
2019-09-02,Spain,Italy,5,0,Friendly,Neutral City,Neutral,True
2019-09-09,Mexico,Argentina,0,0,Friendly,Neutral City,Neutral,True
2019-09-16,England,Belgium,5,1,Friendly,Neutral City,Neutral,True
2019-09-23,Morocco,France,1,1,Friendly,Neutral City,Neutral,True
2019-09-30,Netherlands,Spain,1,1,Friendly,Neutral City,Neutral,True
2019-10-07,Brazil,Spain,2,0,Friendly,Neutral City,Neutral,True
2019-10-14,Netherlands,Japan,1,0,Friendly,Neutral City,Neutral,True
2019-10-21,Uruguay,Portugal,0,0,Friendly,Neutral City,Neutral,True
2019-10-28,France,Japan,2,1,Friendly,Neutral City,Neutral,True
2019-11-04,Uruguay,Netherlands,2,2,Friendly,Neutral City,Neutral,True
2019-11-11,Netherlands,USA,1,1,Friendly,Neutral City,Neutral,True
2019-11-18,USA,Mexico,0,2,Friendly,Neutral City,Neutral,True
2019-11-25,Italy,Morocco,1,1,Friendly,Neutral City,Neutral,True
2019-12-02,France,USA,1,0,Friendly,Neutral City,Neutral,True
2019-12-09,Germany,Morocco,2,1,Friendly,Neutral City,Neutral,True
2019-12-16,Uruguay,Belgium,0,1,Friendly,Neutral City,Neutral,True
2019-12-23,Spain,Mexico,5,1,Friendly,Neutral City,Neutral,True
2019-12-30,Netherlands,Japan,4,0,Friendly,Neutral City,Neutral,True
2020-01-06,Croatia,Morocco,1,1,Friendly,Neutral City,Neutral,True
2020-01-13,Portugal,USA,2,0,Friendly,Neutral City,Neutral,True
2020-01-20,Belgium,Netherlands,0,2,Friendly,Neutral City,Neutral,True
2020-01-27,Uruguay,Croatia,1,2,Friendly,Neutral City,Neutral,True
2020-02-03,France,Netherlands,2,0,Friendly,Neutral City,Neutral,True
2020-02-10,England,France,2,0,Friendly,Neutral City,Neutral,True
2020-02-17,USA,Spain,0,2,Friendly,Neutral City,Neutral,True
2020-02-24,USA,England,1,1,Friendly,Neutral City,Neutral,True
2020-03-02,Spain,Morocco,0,0,Friendly,Neutral City,Neutral,True
2020-03-09,Croatia,Mexico,1,2,Friendly,Neutral City,Neutral,True
